offline_datapoint_27 1631708170 492716032,000
offline_datapoint_14 1631708170 937824256,000
offline_datapoint_3 1631708170 6772756480,000
offline_datapoint_9 1631708170 310714368,000
offline_datapoint_26 1631708170 2638,000
offline_datapoint_20 1631708168 0,000
offline_datapoint_8 1631708168 659,122
offline_datapoint_22 1631708170 310714368,000
offline_datapoint_1 1631708168 0,000
offline_datapoint_21 1631708170 4192374784,000
offline_datapoint_7 1631708170 6657216512,000
offline_datapoint_6 1631708168 0,457
offline_datapoint_12 1631708168 6,868
offline_datapoint_25 1631708168 4,248
offline_datapoint_13 1631708168 6023,777
offline_datapoint_19 1631708170 0,000
offline_datapoint_0 1631708168 7382,840
offline_datapoint_16 1631708168 1542,413
offline_datapoint_29 1631708168 0,504
offline_datapoint_17 1631708168 29,778
offline_datapoint_10 1631708168 99,307
offline_datapoint_30 1631708168 1,673
offline_datapoint_23 1631708168 6909,124
offline_datapoint_4 1631708168 0,010
offline_datapoint_11 1631708173 136507,000
offline_datapoint_5 1631708173 3416,000
offline_datapoint_18 1631708171 55,909
offline_datapoint_27 1631708173 492716032,000
offline_datapoint_14 1631708173 937824256,000
offline_datapoint_3 1631708173 6773035008,000
offline_datapoint_9 1631708173 311029760,000
offline_datapoint_26 1631708173 2636,000
offline_datapoint_20 1631708171 0,667
offline_datapoint_8 1631708171 829,902
offline_datapoint_22 1631708173 311029760,000
offline_datapoint_1 1631708171 0,333
offline_datapoint_21 1631708173 4192235520,000
offline_datapoint_7 1631708173 6657585152,000
offline_datapoint_6 1631708171 0,065
offline_datapoint_12 1631708171 5,829
offline_datapoint_25 1631708171 3,256
offline_datapoint_13 1631708171 5839,655
offline_datapoint_19 1631708173 0,000
offline_datapoint_0 1631708171 7150,694
offline_datapoint_16 1631708171 1537,102
